LeagueID,SeasonID,TeamID,TeamCity,TeamName,Conference,ConferenceRecord,PlayoffRank,ClinchIndicator,Division,DivisionRecord,DivisionRank,WINS,LOSSES,WinPCT,LeagueRank,Record,HOME,ROAD,L10,Last10Home,Last10Road,OT,ThreePTSOrLess,TenPTSOrMore,LongHomeStreak,strLongHomeStreak,LongRoadStreak,strLongRoadStreak,LongWinStreak,LongLossStreak,CurrentHomeStreak,strCurrentHomeStreak,CurrentRoadStreak,strCurrentRoadStreak,CurrentStreak,strCurrentStreak,ConferenceGamesBack,DivisionGamesBack,ClinchedConferenceTitle,ClinchedDivisionTitle,ClinchedPlayoffBirth,EliminatedConference,EliminatedDivision,AheadAtHalf,BehindAtHalf,TiedAtHalf,AheadAtThird,BehindAtThird,TiedAtThird,Score100PTS,OppScore100PTS,OppOver500,LeadInFGPCT,LeadInReb,FewerTurnovers,PointsPG,OppPointsPG,DiffPointsPG,vsEast,vsAtlantic,vsCentral,vsSoutheast,vsWest,vsNorthwest,vsPacific,vsSouthwest,Jan,Feb,Mar,Apr,May,Jun,Jul,Aug,Sep,Oct,Nov,Dec,PreAS,PostAS
0,22015,1610612739,Cleveland,Cavaliers,East,35-17,1, - e,Central,8-Aug,1,57,25,0.695,0,57-25,33-8,24-17,4-Jun,3-Jul,5-May,3-Mar,7-Apr,32-8,9,W 9,6,W 6,8,3,-1,L 1,-2,L 2,-1,L 1,0,0,1,1,1,0,0,46-8,16-Nov,0-1,49-7,17-Jun,1-Feb,45-9,25-16,29-14,43-3,49-7,24-10,104,98,6,35-17,14-4,8-Aug,13-5,22-8,2-Aug,2-Aug,4-Jun,13-3,5-Aug,5-Nov,3-Apr,,,,,,1-Feb,3-Nov,5-Aug,38-14,19-11
0,22015,1610612744,Golden State,Warriors,West,46-6,1, - w,Pacific,15-1,1,73,9,0.89,0,73-9,39-2,34-7,2-Aug,2-Aug,2-Aug,1-Jun,2-Jul,44-5,36,W 36,14,W 14,24,1,2,W 2,4,W 4,4,W 4,0,0,1,1,1,0,0,64-1,8-Aug,Jan-00,61-1,7-Oct,1-Feb,71-4,46-8,38-5,67-1,45-3,31-3,115,104,11,27-3,1-Sep,2-Aug,Oct-00,46-6,15-3,15-1,16-2,14-2,1-Sep,15-2,2-May,,,,,,Mar-00,16-0,2-Nov,48-4,25-5
0,22015,1610612759,San Antonio,Spurs,West,43-9,2, - sw,Southwest,14-2,1,67,15,0.817,0,67-15,40-1,27-14,4-Jun,1-Sep,5-May,Jan-00,4-Apr,44-6,39,W 39,6,W 6,13,3,1,W 1,1,W 1,2,W 2,6,0,0,1,1,0,0,58-5,9-Aug,1-Jan,59-4,11-Jun,Feb-00,49-3,9-Nov,34-13,60-1,51-6,41-11,104,93,11,24-6,1-Sep,3-Jul,2-Aug,43-9,15-3,14-4,14-2,2-Nov,1-Nov,13-3,3-Apr,,,,,,1-Jan,13-3,14-2,45-8,22-7
0,22015,1610612761,Toronto,Raptors,East,39-13,2, - a,Atlantic,14-2,1,56,26,0.683,0,56-26,32-9,24-17,3-Jul,2-Aug,4-Jun,1-Mar,6-Jun,28-10,12,W 12,4,W 4,11,3,4,W 4,2,W 2,4,W 4,1,0,0,1,1,0,0,38-8,13-16,2-May,45-6,19-Oct,1-Jan,42-15,21-Nov,28-16,44-2,41-9,22-18,103,98,5,39-13,14-2,7-Nov,14-4,17-13,5-May,5-May,3-Jul,2-Dec,4-Jul,5-Nov,2-Jun,,,,,,Feb-00,7-Sep,6-Sep,35-17,21-9
0,22015,1610612748,Miami,Heat,East,31-21,3, - se,Southeast,6-Oct,1,48,34,0.585,0,48-34,28-13,20-21,4-Jun,1-Sep,6-Apr,3-Mar,5-Jul,24-20,6,W 6,3,W 3,5,4,6,W 6,-1,L 1,-1,L 1,9,0,0,1,1,0,0,30-11,15-21,2-Mar,33-7,26-Dec,1-Mar,32-11,23-Nov,24-23,42-13,34-14,26-5,100,98,2,31-21,8-Oct,7-Nov,6-Oct,17-13,4-Jun,5-May,4-Jun,8-Sep,5-Jun,5-Oct,3-May,,,,,,1-Jan,5-Sep,7-Aug,29-24,19-10
0,22015,1610612760,Oklahoma City,Thunder,West,37-15,3, - nw,Northwest,13-3,1,55,27,0.671,0,55-27,32-9,23-18,5-May,3-Jul,5-May,2-Mar,6-Aug,33-5,9,W 9,4,W 4,8,3,6,W 6,-3,L 3,-1,L 1,18,0,0,1,1,0,0,42-13,14-Dec,Jan-00,48-14,13-Jul,0-0,52-14,26-22,26-18,48-10,46-15,18-5,110,103,7,18-12,4-Jun,6-Apr,2-Aug,37-15,13-3,6-Dec,6-Dec,13-3,5-Jun,5-Nov,4-Feb,,,,,,Feb-00,7-Sep,3-Dec,40-14,15-13
0,22015,1610612737,Atlanta,Hawks,East,29-23,4, - x,Southeast,8-Aug,2,48,34,0.585,0,48-34,27-14,21-20,4-Jun,2-Aug,4-Jun,0-5,7-May,29-17,6,W 6,4,W 4,7,3,3,W 3,-3,L 3,-2,L 2,9,0,0,0,1,0,0,33-7,15-25,0-2,40-6,27-Aug,0-1,39-9,15-25,28-19,43-8,20-5,33-15,103,99,4,29-23,7-Nov,8-Oct,8-Aug,19-11,4-Jun,5-May,2-Aug,9-Jun,5-Jun,4-Dec,3-Mar,,,,,,1-Feb,7-Oct,5-Sep,31-24,17-10
0,22015,1610612746,LA,Clippers,West,31-21,4, - x,Pacific,7-Sep,2,53,29,0.646,0,53-29,29-12,24-17,2-Aug,2-Aug,6-Apr,1-May,4-Aug,28-15,7,W 7,6,W 6,10,3,7,W 7,-1,L 1,-1,L 1,20,20,0,0,1,0,0,38-9,13-17,3-Feb,47-5,24-May,Jan-00,42-16,13-26,26-19,46-9,13-3,35-15,105,100,4,22-8,3-Jul,4-Jun,1-Sep,31-21,7-Nov,7-Sep,7-Nov,3-Nov,4-Jul,8-Aug,1-Jun,,,,,,Mar-00,8-Jul,5-Nov,35-18,18-11
0,22015,1610612738,Boston,Celtics,East,31-21,5, - x,Atlantic,6-Oct,2,48,34,0.585,0,48-34,28-13,20-21,4-Jun,3-Jul,6-Apr,2-Jan,7-May,26-13,14,W 14,-4,L 4,5,4,1,W 1,-1,L 1,1,W 1,9,8,0,0,1,0,0,33-10,23-Dec,1-Mar,40-6,27-Jul,1-Jan,41-19,15-31,23-25,35-3,30-9,38-22,106,103,3,31-21,6-Oct,9-Sep,6-Dec,17-13,4-Jun,3-Jul,6-Apr,8-Sep,3-Sep,7-Jul,2-May,,,,,,1-Jan,7-Sep,6-Aug,32-23,16-11
0,22015,1610612757,Portland,Trail Blazers,West,29-23,5, - x,Northwest,5-Nov,2,44,38,0.537,0,44-38,28-13,16-25,3-Jul,1-Sep,8-Feb,3-Feb,7-Feb,23-21,8,W 8,6,W 6,6,7,1,W 1,1,W 1,1,W 1,29,11,0,0,1,0,0,35-8,29-Aug,1-Jan,35-7,30-Jun,1-Mar,40-19,22-33,18-25,34-7,31-14,20-9,105,104,1,15-15,5-May,5-May,5-May,29-23,5-Nov,8-Oct,10-Aug,5-Sep,2-Sep,8-Aug,2-Apr,,,,,,2-Jan,9-Jun,10-Jul,27-27,17-11
0,22015,1610612742,Dallas,Mavericks,West,27-25,6, - x,Southwest,9-Jul,2,42,40,0.512,0,42-40,23-18,19-22,3-Jul,6-Apr,5-May,4-Aug,11-Jun,19-18,5,W 5,-4,L 4,6,5,-1,L 1,1,W 1,-1,L 1,31,25,0,0,1,0,0,29-9,31-Dec,Jan-00,31-6,Nov-33,0-1,28-17,14-33,15-29,30-8,18-10,29-13,102,103,0,15-15,2-Aug,6-Apr,7-Mar,27-25,7-Nov,9-Sep,9-Jul,9-Sep,6-Apr,10-May,2-May,,,,,,1-Jan,7-Sep,5-Sep,29-26,13-14
0,22015,1610612766,Charlotte,Hornets,East,33-19,6, - x,Southeast,8-Aug,3,48,34,0.585,0,48-34,30-11,18-23,3-Jul,2-Aug,4-Jun,May-00,5-Jun,25-17,8,W 8,-10,L 10,7,7,4,W 4,1,W 1,2,W 2,9,0,0,0,1,0,0,37-5,27-Jul,2-Apr,38-5,29-Aug,Feb-00,40-8,16-25,22-24,33-2,23-7,25-18,103,101,3,33-19,13-5,6-Dec,8-Aug,15-15,6-Apr,5-May,4-Jun,11-Jun,3-Jul,13-3,3-May,,,,,,0-2,5-Oct,7-Jul,27-26,21-8
0,22015,1610612754,Indiana,Pacers,East,30-22,7, - x,Central,8-Aug,2,45,37,0.549,0,45-37,26-15,19-22,3-Jul,4-Jun,4-Jun,7-Jan,9-Sep,21-13,6,W 6,-5,L 5,6,3,3,W 3,1,W 1,3,W 3,12,12,0,0,1,0,0,32-11,26-Nov,Feb-00,37-7,28-Jul,2-Jan,30-17,13-31,20-25,38-8,28-11,25-19,102,100,2,30-22,13-5,8-Aug,9-Sep,15-15,6-Apr,5-May,4-Jun,8-Jul,7-Jun,7-Aug,1-Jun,,,,,,0-3,2-Nov,9-Jul,28-25,17-12
0,22015,1610612763,Memphis,Grizzlies,West,25-27,7, - x,Southwest,9-Jul,3,42,40,0.512,0,42-40,26-15,16-25,9-Jan,6-Apr,9-Jan,3-Mar,3-Aug,15-23,6,W 6,-6,L 6,5,6,-1,L 1,-6,L 6,-4,L 4,31,25,0,0,1,0,0,33-8,30-Jul,2-Feb,29-5,Nov-33,2-Feb,32-12,14-29,28-Oct,29-7,19-14,33-26,99,101,-2,17-13,3-Jul,3-Jul,7-Mar,25-27,9-Sep,9-Sep,9-Jul,4-Oct,4-Jul,10-Jun,6-Jan,,,,,,1-Feb,7-Aug,8-Aug,31-22,18-Nov
0,22015,1610612745,Houston,Rockets,West,28-24,8, - x,Southwest,8-Aug,4,41,41,0.5,0,41-41,23-18,18-23,4-Jun,4-Jun,5-May,2-Apr,8-May,14-18,7,W 7,-4,L 4,5,4,2,W 2,1,W 1,3,W 3,32,26,0,0,1,0,0,24-9,17-30,0-2,28-9,29-Nov,3-Feb,39-24,26-36,17-28,30-6,26-9,21-17,107,106,0,13-17,4-Jun,7-Mar,6-Apr,28-24,9-Sep,7-Nov,8-Aug,7-Sep,6-Apr,8-Aug,2-Apr,,,,,,0-2,9-Jul,7-Sep,27-28,14-13
0,22015,1610612765,Detroit,Pistons,East,29-23,8, - x,Central,6-Oct,3,44,38,0.537,0,44-38,26-15,18-23,4-Jun,3-Jul,5-May,1-Apr,5-Jun,21-20,5,W 5,-4,L 4,5,5,-1,L 1,2,W 2,1,W 1,13,13,0,0,1,0,0,30-8,27-Dec,3-Feb,33-3,Sep-34,1-Feb,34-11,17-27,23-24,28-4,37-16,26-13,102,101,1,29-23,7-Nov,6-Oct,10-Aug,15-15,3-Jul,5-May,7-Mar,8-Jul,6-Jun,6-Sep,3-Apr,,,,,,Mar-00,9-Jun,6-Sep,27-27,17-11
0,22015,1610612741,Chicago,Bulls,East,25-27,9, - o,Central,6-Oct,4,42,40,0.512,0,42-40,26-15,16-25,4-Jun,4-Jun,5-May,4-Feb,4-Oct,14-19,5,W 5,-8,L 8,6,5,2,W 2,1,W 1,3,W 3,15,15,0,0,0,1,1,31-10,29-Oct,1-Jan,33-9,28-Aug,3-Jan,30-16,18-36,20-25,36-5,30-15,14-10,102,103,-1,25-27,6-Dec,6-Oct,15-Mar,17-13,5-May,4-Jun,4-Jun,8-Aug,8-Apr,9-Aug,3-Apr,,,,,,1-Feb,4-Aug,7-Aug,27-25,15-15
0,22015,1610612762,Utah,Jazz,West,24-28,9, - o,Northwest,8-Aug,3,40,42,0.488,0,40-42,24-17,16-25,5-May,5-May,4-Jun,5-May,8-Jun,23-13,7,W 7,-7,L 7,7,5,-3,L 3,-1,L 1,-2,L 2,33,15,0,0,0,1,1,29-12,30-Oct,Jan-00,29-11,29-Jul,2-Apr,21-8,29-Mar,13-28,35-6,35-19,15-14,98,96,2,16-14,4-Jun,4-Jun,6-Apr,24-28,8-Aug,9-Sep,11-Jul,8-Jul,6-Jul,7-Sep,4-Mar,,,,,,1-Feb,7-Jun,9-Jun,26-26,14-16
0,22015,1610612758,Sacramento,Kings,West,19-33,10, - o,Pacific,8-Aug,3,33,49,0.402,0,33-49,18-23,15-26,5-May,6-Apr,6-Apr,0-3,4-Aug,19-Nov,-7,L 7,-6,L 6,5,6,1,W 1,-1,L 1,-1,L 1,40,40,0,0,0,1,1,28-7,May-40,0-2,28-3,Apr-44,2-Jan,29-29,21-46,13-30,28-16,19-17,17-23,107,109,-2,14-16,4-Jun,5-May,7-Mar,19-33,11-Jul,8-Aug,14-Apr,7-Aug,7-Apr,11-Jun,4-Mar,,,,,,2-Jan,10-Jun,8-May,22-31,18-Nov
0,22015,1610612764,Washington,Wizards,East,30-22,10, - o,Southeast,6-Oct,4,41,41,0.5,0,41-41,22-19,19-22,4-Jun,3-Jul,5-May,0-2,6-Jul,22-22,6,W 6,-4,L 4,5,5,3,W 3,1,W 1,3,W 3,16,7,0,0,0,1,1,31-8,Sep-31,2-Jan,31-10,30-Jul,1-Mar,35-19,14-36,24-29,33-6,25-11,25-24,104,105,-1,30-22,9-Sep,7-Nov,6-Oct,19-Nov,8-Feb,6-Apr,5-May,8-Jul,6-Aug,9-Jul,2-May,,,,,,1-Feb,7-Apr,8-Aug,23-28,18-13
0,22015,1610612743,Denver,Nuggets,West,18-34,11, - o,Northwest,12-Apr,4,33,49,0.402,0,33-49,18-23,15-26,7-Mar,4-Jun,7-Mar,4-Feb,5-Oct,21-Nov,5,W 5,-4,L 4,4,8,-1,L 1,-2,L 2,-2,L 2,40,22,0,0,0,1,1,19-11,14-38,0-0,25-10,Aug-36,0-3,30-24,19-36,17-32,24-5,29-24,22-Nov,102,105,-3,15-15,4-Jun,5-May,6-Apr,18-34,12-Apr,11-Jul,11-Jul,9-Jun,7-May,8-Sep,4-Jan,,,,,,1-Jan,11-May,9-Jun,22-32,17-Nov
0,22015,1610612753,Orlando,Magic,East,21-31,11, - o,Southeast,12-Apr,5,35,47,0.427,0,35-47,23-18,29-Dec,4-Jun,3-Jul,9-Jan,5-Mar,10-Jun,20-Dec,-5,L 5,-6,L 6,5,8,2,W 2,-3,L 3,-1,L 1,22,13,0,0,0,1,1,27-13,Aug-33,0-1,25-12,Sep-34,1-Jan,30-22,Dec-39,17-33,29-12,21-11,22-18,102,104,-2,21-31,6-Dec,13-May,12-Apr,14-16,3-Jul,8-Feb,5-May,12-Feb,7-May,11-Jun,4-Mar,,,,,,0-2,6-Sep,5-Oct,23-29,18-Dec
0,22015,1610612740,New Orleans,Pelicans,West,20-32,12, - o,Southwest,12-Apr,5,30,52,0.366,0,30-52,21-20,Sep-32,6-Apr,5-May,8-Feb,3-Jan,5-May,23-Nov,4,W 4,-7,L 7,3,6,-2,L 2,-3,L 3,-3,L 3,43,37,0,0,0,1,1,20-16,Sep-35,1-Jan,24-5,May-45,2-Jan,29-16,18-42,Nov-35,21-11,19-14,17-23,103,107,-4,20-Oct,6-Apr,6-Apr,8-Feb,20-32,10-Aug,10-Aug,12-Apr,6-Aug,7-May,12-May,5-Feb,,,,,,0-3,10-Apr,9-Jun,20-33,19-Oct
0,22015,1610612749,Milwaukee,Bucks,East,21-31,12, - o,Central,12-Apr,5,33,49,0.402,0,33-49,23-18,31-Oct,7-Mar,6-Apr,7-Mar,Apr-00,4-Jun,27-Dec,4,W 4,-12,L 12,4,5,-3,L 3,-1,L 1,-2,L 2,24,24,0,0,0,1,1,24-7,Aug-41,1-Jan,22-7,Sep-41,1-Feb,23-13,15-40,13-36,29-16,14-20,23-19,99,103,-4,21-31,9-Sep,12-Apr,10-Aug,18-Dec,6-Apr,6-Apr,6-Apr,8-Jul,6-May,9-Jun,5-Feb,,,,,,0-2,9-Jul,10-Jun,22-32,17-Nov
0,22015,1610612750,Minnesota,Timberwolves,West,18-34,13, - o,Northwest,12-Apr,5,29,53,0.354,0,29-53,14-27,15-26,5-May,6-Apr,4-Jun,3-Apr,7-Jul,23-Sep,-6,L 6,-12,L 12,3,9,1,W 1,3,W 3,1,W 1,44,26,0,0,0,1,1,19-14,Sep-37,2-Jan,19-10,Sep-42,1-Jan,24-25,17-42,15-29,26-12,18-19,17-19,102,106,-4,19-Nov,5-May,8-Feb,6-Apr,18-34,12-Apr,8-Oct,14-Apr,14-Feb,6-May,9-Jun,3-Apr,,,,,,Feb-00,9-Jun,12-Apr,17-37,16-Dec
0,22015,1610612752,New York,Knicks,East,21-31,13, - o,Atlantic,8-Aug,3,32,50,0.39,0,32-50,18-23,14-27,7-Mar,7-Mar,6-Apr,2-Feb,7-Apr,14-23,6,W 6,-7,L 7,4,7,-3,L 3,-1,L 1,-2,L 2,25,24,0,0,0,1,1,27-13,May-37,0-0,28-8,Mar-38,4-Jan,26-8,Nov-31,14-32,28-12,19-21,11-Sep,98,101,-3,21-31,8-Aug,11-Jul,12-Jun,19-Nov,5-May,6-Apr,8-Feb,9-Aug,9-Feb,10-May,4-Feb,,,,,,1-Feb,9-Jun,8-Jul,23-32,18-Sep
0,22015,1610612751,Brooklyn,Nets,East,Dec-40,14, - o,Atlantic,10-Jun,4,21,61,0.256,0,21-61,14-27,Jul-34,0-10,6-Apr,0-10,2-Jan,4-Jul,Jun-34,-10,L 10,-12,L 12,2,10,-3,L 3,-12,L 12,-10,L 10,36,35,0,0,0,1,1,16-13,May-47,0-1,13-8,Jul-50,3-Jan,17-21,Dec-54,Nov-40,19-11,24-Dec,21-Oct,99,106,-7,Dec-40,10-Jun,14-Apr,16-Feb,21-Sep,6-Apr,7-Mar,8-Feb,13-Mar,7-May,11-Apr,0-7,,,,,,0-3,10-Apr,10-May,14-40,21-Jul
0,22015,1610612756,Phoenix,Suns,West,17-35,14, - o,Pacific,10-Jun,4,23,59,0.28,0,23-59,14-27,Sep-32,7-Mar,6-Apr,7-Mar,0-1,5-Apr,Oct-32,-8,L 8,-17,L 17,3,13,1,W 1,2,W 2,1,W 1,50,50,0,0,0,1,1,17-8,Apr-49,2-Feb,19-11,Apr-48,0-0,21-21,15-52,13-34,15-5,20-24,14-Aug,101,108,-7,24-Jun,9-Jan,9-Jan,6-Apr,17-35,12-Jun,10-Jun,13-May,12-Feb,9-Jan,11-May,4-Mar,,,,,,1-Feb,8-Jun,14-Apr,14-40,19-Sep
